Event_Group_ID,Event_ID,Data_ID,Park_Code,Route,Start_Date,Year,Group_Index,Route Section,Route_Length,DistanceToDeer,Angle,DistanceFromRoad,Bucks,Doe,Fawn,Unknown,Total_Group,Import_Event_ID,Mileage,Time,Date_Time_Entered,Verified,Wind Speed,Sky,Moon_Phase,Temperature,Event_Notes
{BB48F395-559B-41C2-97F0-8B27D572AE17},{1F6ED4E5-7087-434A-BD93-A239DC4A2CB3},{F768F23B-1854-45EF-84CF-0F7EF11B6712},CATO,CATO,10/22/01,2001,71,Park Central,7.564,21,90,21,0,2,2,0,4,,,,,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{1F6ED4E5-7087-434A-BD93-A239DC4A2CB3},{A9443DCE-9D7A-4117-87D7-56A1DCC3B9F6},CATO,CATO,10/22/01,2001,72,Park Central,7.564,41,90,41,0,0,0,2,2,,,,,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{1F6ED4E5-7087-434A-BD93-A239DC4A2CB3},{A82792B1-0511-4CB0-AA5E-B9B231C0A08C},CATO,CATO,10/22/01,2001,73,Park Central,7.564,24,90,24,0,1,0,2,3,,,,,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{1F6ED4E5-7087-434A-BD93-A239DC4A2CB3},{C0CB89CB-775E-4E3C-8DDF-7EEE58C941AA},CATO,CATO,10/22/01,2001,74,Park Central,7.564,30,90,30,0,3,0,0,3,,,,,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{9574E9B4-65E1-46D6-BA74-9A7C4BB43EB5},{10C3592E-5EC2-4DBE-917B-3CD3AD654E0A},CATO,CATO,10/22/01,2001,75,Manahan,3.058,43,90,43,0,0,0,1,1,,,,,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{021BAED0-6B45-474D-980B-9131FB15D3CF},{2EF2E1F9-CCF6-495E-BD0D-600AD365D2DD},CATO,CATO,10/22/01,2001,76,Foxville-Deerfield,3.058,33,90,33,0,0,0,2,2,,,,12/9/09,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{1F6ED4E5-7087-434A-BD93-A239DC4A2CB3},{A4418D52-68B0-489E-AE02-55881DD8797B},CATO,CATO,10/22/01,2001,77,Park Central,7.564,51,90,51,0,2,0,0,2,,,,,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{D14508CD-A1A2-4E1E-BAEA-45E5AC058ABD},{C10CD0AA-F5F0-4F7D-BBB3-CFF019E14A85},CATO,CATO,10/22/01,2001,78,Mt Zion Rd - Quirak - Hells Delight,1.287,47,90,47,0,0,0,1,1,,,,,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{9574E9B4-65E1-46D6-BA74-9A7C4BB43EB5},{A86EACC8-9137-4D84-A809-B8ECA26D8DA3},CATO,CATO,10/22/01,2001,79,Manahan,3.058,20,90,20,1,0,0,3,4,,,,,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{9574E9B4-65E1-46D6-BA74-9A7C4BB43EB5},{8EE48A06-B2A3-4EE4-96B9-A401DB195B20},CATO,CATO,10/22/01,2001,80,Manahan,3.058,2,90,2,0,1,0,0,1,,,,,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{9574E9B4-65E1-46D6-BA74-9A7C4BB43EB5},{3D57FE52-D39C-4A02-A534-9CFF78467AEE},CATO,CATO,10/22/01,2001,81,Manahan,3.058,60,90,60,0,0,0,3,3,,,,,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{D14508CD-A1A2-4E1E-BAEA-45E5AC058ABD},{C08DEEB2-6FE0-4DE9-BD90-881179081B74},CATO,CATO,10/22/01,2001,82,Mt Zion Rd - Quirak - Hells Delight,1.287,24,90,24,0,0,0,1,1,,,,,TRUE,,Partly Cloudy,Half Moon,71
